star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
TOI-1054,0.84,1.5,3.084,916,7.6,TOI-1054 b,,,,,,,,,,,,,,,,,,,
TOI-824,1.23,1.5,2.923,1257,8.4,TOI-824 b,TOI-824 b,TOI-824,b,2.926,0.202,-0.191,1.392978,1253,18.467,1.843,-1.875,0.02177,4.03,0.98,-0.78,4600,0.695,63.9262,1
TOI-1246d,2.39,1.5,3.506,636,9.9,TOI-1246 d,TOI-1246 d,TOI-1246,d,3.43139739,0.14960553,-0.11612674,18.654874,587.77,5.4,1.9,-1.9,0.132,0.73,0.28,-0.33,5213,0.8649,169.422,1
HR_858d,0.26,1.5,1.999,1062,5.2,HR 858 d,HR 858 d,HR 858,d,2.001,0.063,-0.064,11.230511,1061,7.1,1.6,-1.6,0.1046,4.9,1.2,-1.1,6354,1.258,31.964,1
TOI-654,2.32,1.4,2.377,798,9.9,TOI-654.01,TOI-654.01,TOI-654,b,2.378,0.089,-0.089,1.527561,794,8.71,1.25,-1.25,0.01944,3.59,0.65,-0.65,3521,0.43,57.7553,1
Wolf_503,0.79,1.4,2.042,790,7.6,Wolf 503 b,Wolf 503 b,Wolf 503,b,2.043,0.069,-0.069,6.00127,789,6.27,0.85,-0.84,0.05712,4.03,0.72,-0.64,4716,0.689,44.526,1
HD_003167c,0.6,1.4,2.916,564,7.1,HD 3167 c,HD 3167 c,HD 3167,c,3,0.45,-0.21,29.8454,564,11.13,0.78,-0.74,0.1776,2.11,0.51,-0.69,5261,0.88,47.2899,1
HD_073583c,0.56,1.4,2.386,497,6.9,HD 73583 c,HD 73583 c,HD 73583,c,2.39,0.1,-0.09,18.87974,498,9.7,1.8,-1.7,0.1242,3.88,0.91,-0.8,4511,0.65,31.5666,1
TOI-1470b,1.61,1.4,2.173,725,9.3,TOI-1470 b,TOI-1470 b,TOI-1470,b,2.18,0.04,-0.04,2.527093,734,7.32,1.21,-1.24,0.0285,3.86,0.7,-0.68,3709,0.469,51.9503,1
HD_207897,0.39,1.3,2.499,632,6.3,HD 207897 b,HD 207897 b,HD 207897,b,2.34302132,0.123646,-0.09173373,16.20166,581.75,14.8,1.5,-1.4,0.117,6.29,1.32,-1.78,5106,0.7827,28.2938,1
