star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
HD_097658,0.69,3.0,2.246,761,5.7,HD 97658 b,HD 97658 b,1.0,HD 97658,8.3,1.1,-1.1,4.8,0.7,-0.7,751.0,b,9.4897116,0.0805,2.12,0.06,-0.06,2.757,2023-03-28,0.728,5212.0,21.5618,6.203,5.734
HD_207496,0.9,2.6,2.251,812,6.6,HD 207496 b,HD 207496 b,1.0,HD 207496,6.1,1.6,-1.6,3.17,0.97,-0.91,743.0,b,6.441008,0.0629,2.25,0.12,-0.1,1.762,2023-05-26,0.769,4819.0,23.606,6.57,5.967
G_9-40,2.86,2.5,1.898,440,9.2,G 9-40 b,G 9-40 b,1.0,G 9-40,4.0,0.63,-0.63,3.2,0.63,-0.58,440.6,b,5.7459982,0.0418,1.9,0.065,-0.065,1.693,2024-10-22,0.3026,3395.0,27.9276,10.058,9.19
TOI-836c,0.93,2.4,2.585,653,6.8,TOI-836 c,TOI-836 c,1.0,TOI-836,9.6,2.7,-2.5,3.06,0.48,-0.54,665.0,c,8.59545,0.075,2.587,0.088,-0.088,2.486,2023-02-25,0.665,4552.0,27.5024,7.58,6.804
TOI-270d,1.78,2.4,1.998,387,8.2,TOI-270 d,TOI-270 d,1.0,TOI-270,4.78,0.43,-0.43,2.72,0.33,-0.33,387.0,d,11.379573,0.0721,2.133,0.058,-0.058,2.2350305,2021-08-03,0.378,3506.0,22.4793,9.099,8.251
TOI-5800,1.08,2.4,2.677,1121,7.2,TOI-5800 b,TOI-5800 b,1.0,TOI-5800,9.5,1.7,-1.9,3.46,1.02,-0.9,1108.0,b,2.6278838,0.0344,2.46,0.18,-0.16,1.2,2025-08-14,0.773,4850.0,42.9052,7.771,7.191
TOI-1231,1.62,2.4,3.651,330,8.1,TOI-1231 b,TOI-1231 b,1.0,TOI-1231,15.4,3.3,-3.3,1.74,0.47,-0.42,329.6,b,24.245586,0.1288,3.65,0.16,-0.15,3.24,2021-11-09,0.476,3553.0,27.6227,8.876,8.069
TOI-1201,2.11,2.4,2.408,705,8.6,TOI-1201 b,TOI-1201 b,1.0,TOI-1201,6.28,0.84,-0.88,2.45,0.48,-0.42,703.0,b,2.4919863,0.0287,2.415,0.091,-0.09,1.747,2021-09-27,0.508,3476.0,37.8871,9.528,8.646
AU_Mic_c,0.31,2.3,2.755,463,4.5,AU Mic c,AU Mic c,1.0,AU Mic,14.2,4.8,-3.5,3.66,1.28,-1.28,459.0,c,18.85969,0.1108,2.52202066,0.24659758,-0.24659758,4.236,2024-09-28,0.744,3678.0,9.7221,5.436,4.529
TOI-178g,2.16,2.3,2.937,474,8.8,TOI-178 g,TOI-178 g,1.0,TOI-178,3.94,1.31,-1.62,0.915,0.36,-0.37,470.0,g,20.7095,0.1275,2.87,0.14,-0.13,2.167,2021-03-12,0.651,4316.0,62.699,9.372,8.656
