hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y,target_id
GJ 3090,b,Transit,GO,4098,2,13,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45140.66,45140.86,5.22,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708.0,0.1,1.2,252.99,1.03,X,-0.06,,,GJ 3090 b,GJ 3090 b,1.0,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693.0,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556.0,22.4751,8.168,7.294,GJ 3090b
TOI-178,d,Transit,GO,2319,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45144.91,45145.21,8.42,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4213.5,0.65,0.656,4.503,6.5577756,0.059,88.58,0.009,0.228,5.15,1.21,676.3,0.1,2.2,167.33,0.3,X,-0.23,unsure,no,TOI-178 d,TOI-178 d,1.0,TOI-178,3.01,0.8,-1.03,0.976,0.3,-0.34,690.0,d,6.5577,0.0592,2.572,0.075,-0.078,2.346,12/3/2021,0.651,4316.0,62.699,9.372,8.656,TOI-178d
HD 15337,c,Transit,GO,2512,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45165.43,45165.73,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131.0,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,unsure,no,HD 15337 c,HD 15337 c,1.0,HD 15337,6.792,1.302,-1.143,2.303,0.505,-0.414,592.77,c,17.180546,0.1235,2.526,0.086,-0.075,2.1004813,12/2/2025,0.855,5131.0,44.8155,7.553,7.044,HD 15337c
TOI-421,b,Transit,GO,1935,1,2,Executed,BOTS,G395M,SUB2048,NRSRAPID,4,45179.42,45179.63,5.53,Kempton,12,05 27 24.8259 -14 16 37.05,8.071,74.8,5325.0,0.842,0.866,4.48,5.197576,0.056,85.68,0.022,0.236,11.15,2.53,1012.5,0.0,1.1,89.72,1.42,X,-0.03,clear,yes,TOI-421 b,TOI-421 b,1.0,TOI-421,6.7,0.6,-0.6,2.040038,0.275681,-0.275681,922.0,b,5.197576,0.0554,2.64,0.08,-0.08,1.09,7/8/2024,0.866,5291.0,74.7969,8.547,8.071,TOI-421b
GJ 3090,b,Transit,GO,4098,2,14,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45192.01,45192.22,5.22,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708.0,0.1,1.2,252.99,1.03,X,-0.06,,,GJ 3090 b,GJ 3090 b,1.0,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693.0,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556.0,22.4751,8.168,7.294,GJ 3090b
TOI-421,b,Transit,GO,1935,1,1,Executed,SOSS,X,SUBSTRIP96,NISRAPID,3,45236.56,45236.79,5.6,Kempton,12,05 27 24.8259 -14 16 37.05,8.071,74.8,5325.0,0.842,0.866,4.48,5.197576,0.056,85.68,0.022,0.236,11.15,2.53,1012.5,0.0,1.1,89.72,1.42,X,-0.03,,,TOI-421 b,TOI-421 b,1.0,TOI-421,6.7,0.6,-0.6,2.040038,0.275681,-0.275681,922.0,b,5.197576,0.0554,2.64,0.08,-0.08,1.09,7/8/2024,0.866,5291.0,74.7969,8.547,8.071,TOI-421b
GJ 9827,d,Transit,GO,4098,2,7,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45240.32,45240.5,5.07,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255.0,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,clear,yes,GJ 9827 d,GJ 9827 d,1.0,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675.0,d,6.20183,0.053,1.98,0.11,-0.1,1.248,15/10/2024,0.58,4236.0,29.661,7.984,7.193,GJ 9827d
TOI-178,g,Transit,GO,2319,1,102,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45241.12,45241.43,8.21,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4213.5,0.65,0.676,4.503,20.709002,0.128,88.82,0.012,0.295,4.03,0.73,467.9,0.2,2.2,183.19,0.03,X,-0.23,unsure,no,TOI-178 g,TOI-178 g,1.0,TOI-178,3.94,1.31,-1.62,0.915,0.36,-0.37,470.0,g,20.7095,0.1275,2.87,0.14,-0.13,2.167,12/3/2021,0.651,4316.0,62.699,9.372,8.656,TOI-178g
GJ 9827,d,Transit,GO,4098,2,8,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45246.45,45246.66,5.07,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255.0,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,,,GJ 9827 d,GJ 9827 d,1.0,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675.0,d,6.20183,0.053,1.98,0.11,-0.1,1.248,15/10/2024,0.58,4236.0,29.661,7.984,7.193,GJ 9827d
TOI-260,b,Transit,GO,2512,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45246.76,45247.06,7.75,Batalha,0,00 19 5.5243 -09 57 58.14,6.549,20.19,4050.0,0.582,0.607,4.646,13.4758478,0.093,88.84,0.012,0.153,14.43,5.06,499.9,0.1,2.1,90.97,0.05,X,-0.34,unsure,no,TOI-260 b,TOI-260 b,1.0,TOI-260,4.23,1.6,-1.6,4.66,1.89,-1.89,493.0,b,13.475853,0.0943,1.71,0.08,-0.08,2.37,30/8/2024,0.607,4026.0,20.1852,7.376,6.549,TOI-260b
